,customer_id,star,enroll_date,content
0,누,1,2025-02-05,"당근 예전에 가입한 기억이 있었는데 지금 다시 설치해서 보니 29년까지 이용 금지라 뜹니다. 가입 후 단 한 번도 거래나 글 하나 써본적도 없었는데 왜 제한이 걸리죠? 제한 사유 같은 아무 메세지도 없고, 억울하게 잠긴거면 제한 풀 수 있는 설정이라도 만들어 놔야지 그대로 나가지는게 끝... 시작도 안 했는데 입구에서부터 느껴지는 이 신박한 운영 방식에 박수가 절로 나오네요"
1,Genuine,2,2024-10-11,"1. 제가 상품권판매를 부정하게 한 것도 아니고, 영화티켓 '나눔'글을 올렸을 뿐인데 왜 신고를 먹어야하나요? 해당 영화 티켓을 나눔하고싶고 나눔또한 당근 내의 좋은 문화인데 돈을 받고 대리예매를 해준 경우도 아니고 나눔티켓을 이용할 사람의 상영지점,시간,좌석을 원하는대로 맞춰주려 나눔신청자와 상의 후 예매하고 순수하게 나눔만 했을 뿐인데. 대체 이 게 누구에게 어떤 피해가 가길래 신고대상인가요? 잘 쓰고있던 당근에 납득하기 어려운 부분이라 이용할 마음이 확 떨어지네요. 상식적으로 납득 가능한 명분이라도 안내해주시죠? 과연 있을까요 2. 찜리스트에서 '거래완료'된 상품은 일괄삭제가 가능하면 좋겠네요. 어렵지 않을 기능인데 왜 없는지 신기하네요 3. 간간히 채팅알림이 오지 않음. 그래서 한참 뒤에 확인하게되는 경우가 종종 있는데, 그런 오류 없게 고쳐주시면 좋겠네요. 이 현상을 겪은지가 꽤 오래됐어요. 모든 거래가 채팅으로 이루어지는데 채팅알림이 종종 안 온다는건 큰 에러사항이죠"
2,파란나무,4,2025-07-18,"당근 앱을 정말 잘 사용하고 있는 유저로서 대부분 만족스럽지만, 최근 업데이트 후 조금 불편한 점이 있어 리뷰 써봅니다. 1. 판매글을 쓸 때 AI를 이용해서 자동으로 글 쓰는 기능을 원하지 않는데 가끔 자동으로 선택될 때가 있어 글을 다 지우고 다시 써야 할 때가 있습니다. 판매글 쓸 때 AI로 글쓰기 기능이 자동으로 선택되는 점은 수정해주셨으면 좋겠습니다. 2. 원래 '채팅하기'가 있던 곳과 비슷한 위치에 '보내기'가 있어 이전 화면으로 돌아가려다 실수로 채팅을 보내버릴 위험이 높아졌습니다. 아직까지 실수를 하지는 않았지만 이전 화면으로 돌아갈 때마다 불안해서 물건 구경하기 조심스러워진 건 사실입니다. 이 점도 꼭 개선해주시면 좋겠습니다. 위의 단점들만 제외하면 AI가 시세를 보여주면서 가격을 제안하거나 자동으로 키워드를 제시해주는 등 장점도 있습니다. 덕분에 참고하면서 유용하게 잘 쓰고 있습니다."
3,Yh B,3,2025-07-09,"평소 만족하며 잘 쓰고있있었는데 이번 업데이트가 너무 최악이라 리뷰남깁니다 이미 지적한 분이 계신데, 채팅으로 인한 불편이 심각하네요. 그냥 구경만 하고 싶은 상품이었는데 실수로 보내기 버튼이 눌러져서 채팅이 가기도 하고, 원치않는 문구가 발송됩니다. 자동 채팅 기능이 온/오프 되어 사용자가 선택할 수 있도록 하던지, 업데이트 이전으로 돌려놓던지 반드시 개선이 필요하네요 말씀드렸듯 너무 잘쓰고 있었는데 이런..실제로 테스트 해봤나? 싶을 정도로 실사용 하기에 어이없는 업데이트에 화가나서 리뷰 남기게 되었습니다 해당 기능이 개선되면 별점 고치겠습니다 개선 부탁드립니다."
4,박영철,4,2025-07-03,"업데이트 되었는지 채팅창에 '안녕하세요. 관심있어서 연락드려요!' 라고 디폴트값으로 입력되어 있는데, 하필이면 보내기 버튼 바로 밑에 되돌아가기 버튼이 있어서 하마터면 보내기 버튼을 누를 뻔 했습니다. 저 문구는 삭제 요청 부탁드립니다. 관심 있는 사람에게 저 문구조차 입력할 수고(?)를 덜어줄 필요가 없다고 생각합니다. 활시위는 고객에게 당기게 놔두시길. 게으름뱅이 만들지 마시길. 애초 잘못 누르기 쉽습니다."
5,장연경,2,2025-07-16,실수로 채팅 잘못 보내는 사람들 많아 넘 스트레스..하루에도 몇명이 그러는.. 오른쪽 아래 되돌아기가 버튼쪽에 자동으로 챗팅창으로 들어가는 인사문구가 있어서 진짜 미치겠슴. 이젠 챗 오면 내 대답 자체가 실수로 보내신거죠?가 되어버림...ㅡㅡ 그것도 없애주세요..진짜 사용자들 다 스트레스일것 같은데...
6,mint a,2,2025-07-08,25/07/08 관심 알람은 사라져서 좋은데 새로 바뀐 UI 중 채팅을 바로 보내는 기능이 생겨서 너무 불편합니다. 상품 구경하고 있다가 실수로 채팅보내는 일이 자주 생깁니다. 25/06/20 갑자기 무슨 알림이 주르륵 뜨나 했더니 뭔 관심 갖는 사람이 많네 뭐네. 심지어 이것만 끄는 설정도 없음. 고객센터나 좀 만들어주세요.
7,sunny kim,1,2025-07-08,"다른 문장으로 채팅을 시작하고 싶은데, 기본 문장을 지우면 보내기 버튼 자체가 막혀서 채팅을 할 수도 없고..... 대체 이게 무슨 쓸데없는 기능인가요?????? 쉬운 거래 예문을 주시려면 일단 채팅창을 만들어 들어간 후에 키보드 위에서 누르게 해주시면 좋을 것 같네요."
8,최범균,5,2025-07-11,"안녕하세요 당근 잘 쓰고 있습니다만 몇가지 보완할점들을 적어봅니다 이번에 AI채팅기능이 새로 생겼더라고요 빨리 채팅할때에는 유용하게 쓰일거같다고 봅니다만 대체적으로 일반적인 상황에서는 별 쓸일이 없고, 오히려 잘못보내면 판매자에게 오해에 소지가 있을수 있기에 이 부분은 없에거나 고치면 좋겠습니다 다른점은 게시글을 올렸을때, 채팅이 많이 오는경우 채팅온 순서대로 번호표시와 같이 채팅이 나열되었으면 좋겠습니다 보니까 채팅온 순서가 아닌 무작위 순서로 배열해 헷갈리는 부분들이 몇 있습니다 이부분도 보완해 주시면 좋을거같습니다 마지막으로 저의 이야기는 아니나 제 지인이 게시글을 가끔씩 올리긴 하나 갑작스럽게 계정정지를 받았습니다. 이에 지인은 잘못한게 없는데 왜 정지를 당했는지 영문을 몰라 당근에 있는 고객센터 란에 문의를 넣었으나 이것마져 AI로 대체하고 실 상담사 연결은 안되고 답답한 면도 있고 속은터지고 왜 정지 되었는지도 모르겠고 이부분은 진짜 고쳐야합니다"
9,Dankee Min,2,2025-06-30,내가 찜한 상품에 다른 사람이 찜버튼 눌렀다고 알림이 오네요. 찜한상품 가격의 변동과 다른사람의 찜버튼누름에 대한 알림을 통합해 놓으니까 피곤하네요. 가격변동시에만 알림받을수 있었는데...예전엔 안그랬는데 왜 한꺼번에 묶어놨지요? 다른사람이 찜버튼 누른게 뭐가 그리 중요해서 그걸 알림씩이나 받고 싶겠어요? 다시한번 재고해주세요
